,B0,B3,B9,B11,B12,B15,B16,B25,B26,B32,B38,B44,B45,B48,B49
B0,0.000,0.817,1.129,0.600,0.708,0.941,0.724,0.483,0.393,0.444,0.643,0.411,0.452,0.530,0.700
B3,0.817,0.000,0.757,0.686,0.669,0.633,0.950,0.730,0.792,0.757,0.745,0.779,0.640,0.669,0.754
B9,1.129,0.757,0.000,0.947,0.966,0.706,1.041,1.063,1.098,1.077,1.040,1.107,0.978,0.975,0.830
B11,0.600,0.686,0.947,0.000,0.533,0.872,0.661,0.578,0.564,0.442,0.638,0.519,0.427,0.371,0.654
B12,0.708,0.669,0.966,0.533,0.000,0.807,0.778,0.573,0.696,0.660,0.661,0.609,0.524,0.431,0.671
B15,0.941,0.633,0.706,0.872,0.807,0.000,0.958,0.786,0.885,0.957,0.786,0.884,0.796,0.822,0.700
B16,0.724,0.950,1.041,0.661,0.778,0.958,0.000,0.761,0.661,0.656,0.751,0.603,0.674,0.695,0.696
B25,0.483,0.730,1.063,0.578,0.573,0.786,0.761,0.000,0.455,0.536,0.510,0.474,0.404,0.454,0.672
B26,0.393,0.792,1.098,0.564,0.696,0.885,0.661,0.455,0.000,0.430,0.548,0.356,0.417,0.493,0.667
B32,0.444,0.757,1.077,0.442,0.660,0.957,0.656,0.536,0.430,0.000,0.618,0.430,0.448,0.454,0.724
B38,0.643,0.745,1.040,0.638,0.661,0.786,0.751,0.510,0.548,0.618,0.000,0.535,0.536,0.559,0.711
B44,0.411,0.779,1.107,0.519,0.609,0.884,0.603,0.474,0.356,0.430,0.535,0.000,0.406,0.413,0.675
B45,0.452,0.640,0.978,0.427,0.524,0.796,0.674,0.404,0.417,0.448,0.536,0.406,0.000,0.358,0.580
B48,0.530,0.669,0.975,0.371,0.431,0.822,0.695,0.454,0.493,0.454,0.559,0.413,0.358,0.000,0.629
B49,0.700,0.754,0.830,0.654,0.671,0.700,0.696,0.672,0.667,0.724,0.711,0.675,0.580,0.629,0.000